cleaned_text,sentiment,sentiment_score,source,text,date,rating
sangat membantu,,,play_store,Sangat membantu,2025-02-06 02:10:43,5.0
coba masukin proposal tender bang wkw,neutral,0.995992124080658,tiktok,coba masukin proposal tender bang wkw,,
kalau buat npwp badan tpi ahu valid terus gmna yah kak,neutral,0.991933524608612,tiktok,kalau buat npwp badan tpi ahu valid terus gmna yah kak,,
pagi buka coretax siang buka coretax sore buka coretex malam buka coretex mana bwa laptop buka coretax ngintip sistem error apa tidur lapor,negative,0.7846110463142395,tiktok,pagi buka coretax siang buka coretax sore buka coretex malam buka coretex mana bwa laptop buka coretax ngintip sistem error apa tidur lapor,,
berapa kak,negative,0.9886361956596376,tiktok,berapa kak,,
sosialisasi kait aktivasi akun coretax suluh kpp pratama tangerang barat selaku narasumber sampai edukasi kait tata cara lapor tahun wajib pajak orang pribadi lalu coretax,neutral,0.9989230036735536,twitter,sosialisasi kait aktivasi akun coretax suluh kpp pratama tangerang barat selaku narasumber sampai edukasi kait tata cara lapor tahun wajib pajak orang pribadi lalu coretax,,
harta djp naik cek harta srimuliyono,neutral,0.9990254640579224,tiktok,harta djp naik cek harta srimuliyono,,
terus kalau sekarang djp online buat lapor sekarang login coretax,neutral,0.9856016039848328,tiktok,terus kalau sekarang djp online buat lapor sekarang login coretax,,
memberikan kemudahan dalam administrasi dan pelaporan pajak tanpa harus datang dan antri secara fisik di kantor pajak,,,play_store,Memberikan kemudahan dalam administrasi dan pelaporan pajak tanpa harus datang dan antri secara fisik di kantor pajak,2025-01-30 10:22:59,5.0
kok cek websitenya blokir,neutral,0.8856368660926819,tiktok,kok cek websitenya blokir,,
searcing coretax web paling atas bukan website resmi langsung makin bingung,negative,0.9963082671165466,twitter,searcing coretax web paling atas bukan website resmi langsung makin bingung,,
tangkap layar tunjuk tulis server coretax layar login sistem windows komputer salah satu akun user guna nama server coretax,neutral,0.9964708089828492,twitter,tangkap layar tunjuk tulis server coretax layar login sistem windows komputer salah satu akun user guna nama server coretax,,
mau upload srt srikandi sering lot proses asli selesai menit malah menit mau bikin bupot pajak sekarang lewat coretax bikin istighfar mulu mau cair dana giat lewat sipd kalau lot eror jauh ckp oke sirup lpse,negative,0.9979619979858398,twitter,mau upload srt srikandi sering lot proses asli selesai menit malah menit mau bikin bupot pajak sekarang lewat coretax bikin istighfar mulu mau cair dana giat lewat sipd kalau lot eror jauh ckp oke sirup lpse,,
ojo mbak sab mumet engko koe nyekel coretax,negative,0.9887710213661194,twitter,ojo mbak sab mumet engko koe nyekel coretax,,
most mandiri,positive,0.9991826415061952,tiktok,most mandiri,,
rencana gesa bikin susah banyak usaha gara coretax mau registrasi website log mulu terus gara mau nagih tahan gara akibat prediksi payment dri customer tunda tim system pusing desimal kacau,negative,0.9991482496261596,twitter,rencana gesa bikin susah banyak usaha gara coretax mau registrasi website log mulu terus gara mau nagih tahan gara akibat prediksi payment dri customer tunda tim system pusing desimal kacau,,
abang lupa mahal kan sini kan pajak,negative,0.992652416229248,tiktok,abang lupa mahal kan sini kan pajak,,
sukurin dapat pajak kurang lama website coretax mau muhasabah diri bakal terus kurang ngide ganti ganti segala mending ganti totalitas bagus gitu dana buat website coretax doang bagus produk akhir gelap,negative,0.9957549571990968,twitter,sukurin dapat pajak kurang lama website coretax mau muhasabah diri bakal terus kurang ngide ganti ganti segala mending ganti totalitas bagus gitu dana buat website coretax doang bagus produk akhir gelap,,
"tambah garai emosi,payah",,,play_store,"tambah garai emosi,payah",2025-05-28 12:12:14,1.0
hai kak maksud terima kode verifikasi otp laku daftar npwp lalu coretax terima kode verifikasi otp lalu pasti tulis sesuai milik pulsa cukup laku aktif kak,neutral,0.9885037541389464,twitter,hai kak maksud terima kode verifikasi otp laku daftar npwp lalu coretax terima kode verifikasi otp lalu pasti tulis sesuai milik pulsa cukup laku aktif kak,,
selasa minggu lalu kantor kpp tempat masalah buat pajak keluar website triliun nama coretax ikut bagai tutorial login guna akun pic lalu impersonate akun badan hingga refresh ribu kali,neutral,0.9937657117843628,twitter,selasa minggu lalu kantor kpp tempat masalah buat pajak keluar website triliun nama coretax ikut bagai tutorial login guna akun pic lalu impersonate akun badan hingga refresh ribu kali,,
"pengajuan efin cuma bisa masukin 15 digit npwp, sedangkan saat ini npwp sudah 16 digit. mohon diperbaiki laa ya, sekelas aplikasi milik pemerintah masa gini amat",,,play_store,"Pengajuan EFIN cuma bisa masukin 15 digit NPWP, sedangkan saat ini NPWP sudah 16 digit. Mohon diperbaiki laa ya, sekelas aplikasi milik pemerintah masa gini amat",2025-03-29 21:19:22,1.0
kudu sabar drpd setreesss,positive,0.6812975406646729,tiktok,kudu sabar drpd setreesss,,
sri mulyani apa ngeh dirut pajak ngapain,neutral,0.9848061203956604,tiktok,sri mulyani apa ngeh dirut pajak ngapain,,
hai kak dokumen ppbj buat usaha kawasan bebas maksud oleh bkp wujud tlddp lalu sinsw menu tampil dokumen ppbj coretax sedia kak,negative,0.8154729008674622,twitter,hai kak dokumen ppbj buat usaha kawasan bebas maksud oleh bkp wujud tlddp lalu sinsw menu tampil dokumen ppbj coretax sedia kak,,
jujur mau bayar pajak bingung sendiri cara make coretax,negative,0.9918302893638612,tiktok,jujur mau bayar pajak bingung sendiri cara make coretax,,
jasa tag gerindra,positive,0.5649763941764832,tiktok,jasa tag gerindra,,
website coretax kak coretax gada aplikasi,neutral,0.994816243648529,twitter,website coretax kak coretax gada aplikasi,,
sebut usaha pwc,neutral,0.6176045536994934,tiktok,sebut usaha pwc,,
kak aktivasi wajib kantor pajak dlu baru bsa login,neutral,0.99710613489151,tiktok,kak aktivasi wajib kantor pajak dlu baru bsa login,,
aktivasi akun coretax urus pajak makin relax coretax pusdiklatpajak puspahati,neutral,0.9913732409477234,twitter,aktivasi akun coretax urus pajak makin relax coretax pusdiklatpajak puspahati,,
giat sosialisasi core tax administration system coretax laku kantor layan suluh konsultasi paja kpkp libat bagai aktivitas tuju wajib pajak bendaharawan aparatur sipil negara asn negara asn,neutral,0.9983537197113036,twitter,giat sosialisasi core tax administration system coretax laku kantor layan suluh konsultasi paja kpkp libat bagai aktivitas tuju wajib pajak bendaharawan aparatur sipil negara asn negara asn,,
ga ada menu lupa sandi,,,play_store,ga ada menu lupa sandi,2025-07-02 14:48:24,1.0
otp lama,,,play_store,Otp lama,2025-03-13 03:35:50,2.0
ga bisa daftar...,,,play_store,ga bisa daftar...,2025-04-09 15:44:47,1.0
kpk sedang dalam duga korupsi coretax berantaskorupsi prabowoberantaskorupsi astacita indonesiatanpakorupsi,neutral,0.6303399205207825,twitter,kpk sedang dalam duga korupsi coretax berantaskorupsi prabowoberantaskorupsi astacita indonesiatanpakorupsi,,
apk ibu sri,negative,0.7669458389282227,tiktok,apk ibu sri,,
plissss tabel nampilin pajak keluar sangat sangat user friendly capek banget kudu geser kanan liat referensi terus geser kiri buat ceklis capekkk banget,negative,0.9990226030349731,tiktok,plissss tabel nampilin pajak keluar sangat sangat user friendly capek banget kudu geser kanan liat referensi terus geser kiri buat ceklis capekkk banget,,
"lumayan bagus, tapi bagaimana cara kirim kartu npwp ke email ya ?",,,play_store,"Lumayan bagus, tapi bagaimana cara kirim kartu npwp ke email ya ?",2025-03-16 16:30:15,5.0
gak enak buat lapor baik pakai versi web,,,play_store,gak enak buat lapor baik pakai versi web,2025-04-17 00:49:20,1.0
tau kan tau kan duit,negative,0.7945799231529236,tiktok,tau kan tau kan duit,,
sdm indonesia mampu saing negara luar mesti negara hadir jemput kolaborasi negara apa dana buat luar biasa hasil,positive,0.8265219926834106,tiktok,sdm indonesia mampu saing negara luar mesti negara hadir jemput kolaborasi negara apa dana buat luar biasa hasil,,
terus rakyat kapan liat mutasi rek tugas pajak,negative,0.9897301197052002,tiktok,terus rakyat kapan liat mutasi rek tugas pajak,,
sabar bro jangan surup kan brserah diri,positive,0.994744062423706,tiktok,sabar bro jangan surup kan brserah diri,,
abang mesti pake throttle network setting browser biar aman,neutral,0.9962882995605468,tiktok,abang mesti pake throttle network setting browser biar aman,,
"pajak elit server sulit, mau dapet verifikasi login aja nunggu 1 jam. gimana ya cara lapornya",,,play_store,"Pajak elit server sulit, mau dapet verifikasi login aja nunggu 1 jam. Gimana ya cara lapornya",2025-03-03 09:01:04,1.0
buat bikin aplikasi gajih sisa begitu kira kira,negative,0.9876152276992798,tiktok,buat bikin aplikasi gajih sisa begitu kira kira,,
bagus,,,play_store,bagus,2025-05-24 17:33:06,5.0
gagal nomor telepon padahal nomor telepon daftar,negative,0.569219708442688,tiktok,gagal nomor telepon padahal nomor telepon daftar,,
kmaren ditawarin buat aplikasi lebih bagus team indonesia,negative,0.9957849383354188,tiktok,kmaren ditawarin buat aplikasi lebih bagus team indonesia,,
"gimana orang mau taat pajak, mau daftar aja susahnya minta ampun. itu juga daftarnya udah online, gimna kalo daftar ofline??. hadeh rusak instansi pemerintahan dengan pelayanan bintang 1.",,,play_store,"gimana orang mau taat pajak, mau daftar aja susahnya minta ampun. Itu juga daftarnya udah online, gimna kalo daftar ofline??. Hadeh rusak instansi pemerintahan dengan pelayanan bintang 1.",2025-03-28 02:12:12,1.0
usaha gede pake bootstrap aneh,negative,0.999152898788452,tiktok,usaha gede pake bootstrap aneh,,
all tawar jasa konsultan pajak freelance tangan perlu buat npwp administrasi paja hitung masa tahun badan maupun lapor pph badan lapor ppn konsultanpajak pajak coretax cuan,neutral,0.9801396131515504,twitter,all tawar jasa konsultan pajak freelance tangan perlu buat npwp administrasi paja hitung masa tahun badan maupun lapor pph badan lapor ppn konsultanpajak pajak coretax cuan,,
mending ributin coretax punya fitur kek gin,negative,0.9127328395843506,twitter,mending ributin coretax punya fitur kek gin,,
coretax babi perintah babi cus dana triliun bikin web kek sampah cihhhhh busuk semua perut kalian amin perintah dzolim,negative,0.9995654225349426,twitter,coretax babi perintah babi cus dana triliun bikin web kek sampah cihhhhh busuk semua perut kalian amin perintah dzolim,,
harga asli segitu,negative,0.8384044766426086,tiktok,harga asli segitu,,
aplikasi error,,,play_store,aplikasi error,2025-11-20 02:15:49,1.0
aplikasi tidak bisa digunakan,,,play_store,aplikasi tidak bisa digunakan,2025-05-27 06:47:57,2.0
senin kpp pratama cilacap laku sosialisasi aktivasi akun coretax tempat aula dinas tahan pangan kabupaten cilacap giat ikut pegawai pegawai dinas tahan pangan kabupaten cilacap coretax aktivasicoretax,neutral,0.9985783100128174,twitter,senin kpp pratama cilacap laku sosialisasi aktivasi akun coretax tempat aula dinas tahan pangan kabupaten cilacap giat ikut pegawai pegawai dinas tahan pangan kabupaten cilacap coretax aktivasicoretax,,
sarkas bang,negative,0.9977072477340698,tiktok,sarkas bang,,
masa heran,negative,0.9975076913833618,tiktok,masa heran,,
gabung family tax unit pasti akun coretax aktif cinta koneksi sejati mulai langkah kecil aktivasi cinta ngingetin rangga buat aktifin coretax masa,positive,0.8215904235839844,twitter,gabung family tax unit pasti akun coretax aktif cinta koneksi sejati mulai langkah kecil aktivasi cinta ngingetin rangga buat aktifin coretax masa,,
nah iya bnr tuh,negative,0.9318914413452148,tiktok,nah iya bnr tuh,,
bang bahas website ojk untuk aplikasi idebku dong. kesel banget kalau mau cek slik ojk karena kecepatannya lemot banget dan udah gitu kalau masukin captcha nya suka error. selain itu kalau upload foto identitas suka error dan harus upload berkali-kali,,,youtube,@davidalfasunarma bang bahas website OJK untuk aplikasi idebku dong. Kesel banget kalau mau cek SLIK OJK karena kecepatannya lemot banget dan udah gitu kalau masukin captcha nya suka error. Selain itu kalau upload foto identitas suka error dan harus upload berkali-kali,2025-11-11,
jangan doa dewa dewa bang,negative,0.8899701833724976,tiktok,jangan doa dewa dewa bang,,
purbaya bro mau loker,neutral,0.998374342918396,tiktok,purbaya bro mau loker,,
eror mulu eror mulu eror mulu,negative,0.9696274995803832,tiktok,eror mulu eror mulu eror mulu,,
ga web nya ga apk nya ga guna,,,play_store,Ga web nya ga apk nya ga guna,2025-02-05 05:17:33,1.0
yokkk uppp,neutral,0.9974865913391112,tiktok,yokkk uppp,,
mantap,positive,0.9992545247077942,tiktok,mantap,,
pecat pegawai menkeu pajak masalah tolak usul jabat daerah hingga luhut proyek gaje bikin dana endap deposito coretax tahap baik aware masalah banyak demo ekonomi rakyat banyak kurang makan,negative,0.9941189289093018,twitter,pecat pegawai menkeu pajak masalah tolak usul jabat daerah hingga luhut proyek gaje bikin dana endap deposito coretax tahap baik aware masalah banyak demo ekonomi rakyat banyak kurang makan,,
좋아요,,,play_store,좋아요,2025-01-22 04:43:57,5.0
capek bgttt nang coretax error ahu error ngehambat kerja bgtt meanwhile kejar kejar klien amp deadline lebaran sadar bgtt kerja stress free kalau stres gegara website perintah busuk gin ken ngamuk rasa,negative,0.9995062351226808,twitter,capek bgttt nang coretax error ahu error ngehambat kerja bgtt meanwhile kejar kejar klien amp deadline lebaran sadar bgtt kerja stress free kalau stres gegara website perintah busuk gin ken ngamuk rasa,,
malu sama deepseek,negative,0.999174177646637,tiktok,malu sama deepseek,,
"min tolong upgrade apknya dong ini cuma mau ngecek efin gue masa yang bisa harus npwp yang 15 digit aja min sedangkan npwp gue 16 digit, gmn min tolong dijawab ya🙏🏻",,,play_store,"min tolong upgrade apknya dong ini cuma mau ngecek efin gue masa yang bisa harus NPWP yang 15 digit aja min sedangkan NPWP gue 16 digit, gmn min tolong dijawab ya🙏🏻",2025-03-26 03:27:37,1.0
"sumpah login aja membuat pasword baru malah salah terus, eror. update bukan mempermudah tapi kok mempersulit",,,play_store,"sumpah login aja membuat pasword baru malah salah terus, eror. update bukan mempermudah tapi kok mempersulit",2025-03-20 01:59:49,1.0
nggak berkembang,,,play_store,Nggak berkembang,2025-01-30 05:04:42,1.0
biar bintang yang berbicara,,,play_store,biar bintang yang berbicara,2025-02-27 03:30:08,1.0
bikin bang,positive,0.9399923086166382,tiktok,bikin bang,,
bikin coretax bukan kalau iya brti buat cair dana waktu,neutral,0.9103990197181702,twitter,bikin coretax bukan kalau iya brti buat cair dana waktu,,
kaya website kampus error mulu wkwkwkkw,negative,0.9987708926200868,tiktok,kaya website kampus error mulu wkwkwkkw,,
revolusinkri roboh kuasa jahat wowok fufufafa,negative,0.9984777569770812,tiktok,revolusinkri roboh kuasa jahat wowok fufufafa,,
ngapa ini ya 🙂‍↕️,,,play_store,Ngapa ini ya 🙂‍↕️,2025-03-11 01:07:12,1.0
usaha asing tapiiiii personilnya magang lokal konoha bang cuma pake bendera asing doang wkwkk,negative,0.9975616931915284,tiktok,usaha asing tapiiiii personilnya magang lokal konoha bang cuma pake bendera asing doang wkwkk,,
"udah cape ngeluh sama aplikasi instansi pemerintahan, gaada 1 pun yg bener, mau bayar ke negara pun dipersulit",,,play_store,"Udah cape ngeluh sama aplikasi instansi pemerintahan, gaada 1 pun yg bener, mau bayar ke negara pun dipersulit",2025-02-28 07:44:47,1.0
"aplikasi lemot, fitur chat pajak yang merespon hanya bot, ketika ingin terhubung hanya menerima notif bahwa kendala jaringan sedangkan normal, kendala dari kalian dan aplikasi kalian itu",,,play_store,"Aplikasi lemot, Fitur chat pajak yang merespon hanya bot, Ketika ingin terhubung hanya menerima notif bahwa kendala jaringan sedangkan normal, Kendala dari kalian dan aplikasi kalian itu",2025-03-13 16:40:35,1.0
apk pemerintah malah lemot dapet kode verifikasi susah minta ampun kerja nya apaan coba !!!!,,,play_store,apk pemerintah malah lemot dapet kode verifikasi susah minta ampun kerja nya apaan coba !!!!,2025-09-26 10:46:19,1.0
bang bang,positive,0.9936969876289368,tiktok,bang bang,,
hai kak informasi konteks aplikasi apa website djponline coretax aplikasi kakak alami kendala tentu akses aplikasi sebut iya apa notifikasi errornya tks slim,neutral,0.7147154211997986,twitter,hai kak informasi konteks aplikasi apa website djponline coretax aplikasi kakak alami kendala tentu akses aplikasi sebut iya apa notifikasi errornya tks slim,,
pic utama ubah muncul centang pihak kait mana ngapain coretax bagaimana solusi,negative,0.7108967304229736,twitter,pic utama ubah muncul centang pihak kait mana ngapain coretax bagaimana solusi,,
ga ada pilihan lupa kata sandi saat login. jd ga bisa login. mohon d perbaiki.,,,play_store,ga ada pilihan lupa kata sandi saat login. jd ga bisa login. mohon d perbaiki.,2025-04-20 05:46:49,1.0
perlu baik hahahaah,negative,0.9474999904632568,tiktok,perlu baik hahahaah,,
wkakakakakakakkaaka,negative,0.984085202217102,tiktok,wkakakakakakakkaaka,,
audit coretax,negative,0.9435863494873048,tiktok,audit coretax,,
uang kantonginlah,neutral,0.997592270374298,tiktok,uang kantonginlah,,
woy website coretax ampas gua mau daftar minta otp lama banget kirim lewat nmr telepon terus pas verifikasi alamat muncul muncul loading mulu,negative,0.9978482723236084,twitter,woy website coretax ampas gua mau daftar minta otp lama banget kirim lewat nmr telepon terus pas verifikasi alamat muncul muncul loading mulu,,
coba cari asal anggar apbn pdn apa tuu nama anggar,negative,0.9830247163772584,tiktok,coba cari asal anggar apbn pdn apa tuu nama anggar,,
tag woy,positive,0.9121955633163452,tiktok,tag woy,,
bpjs ketenagakerjaan aplikasi perintah ampas semua,neutral,0.9858384728431702,tiktok,bpjs ketenagakerjaan aplikasi perintah ampas semua,,
coretax buat keluar manual uplod kok kolom email kosong,neutral,0.7058055996894836,twitter,coretax buat keluar manual uplod kok kolom email kosong,,
penipu hati2 semua ini mencari data pribadi,,,play_store,penipu hati2 semua ini mencari data pribadi,2025-08-02 22:07:02,1.0
knapa pas ngisi email sama nmr telefon ttp silang,neutral,0.9921168684959412,tiktok,knapa pas ngisi email sama nmr telefon ttp silang,,
👍👍👍,,,play_store,👍👍👍,2025-01-05 09:31:00,5.0
malah mulai tahun depan lapor pajak pakai coretax kak,neutral,0.9973440766334534,twitter,malah mulai tahun depan lapor pajak pakai coretax kak,,
"lemott banget, servernya ampas. semoga dev it nya dari orang yg berpengalaman, dan digaji layak. tapi dev it juga harus kerja yang bener.",,,play_store,"lemott banget, servernya ampas. semoga dev IT nya dari orang yg berpengalaman, dan digaji layak. tapi dev IT juga harus kerja yang bener.",2025-01-01 03:41:07,2.0
ada yang bisa bikin web bagus dalam negri pake luar mantap sangat tau negri,,,youtube,ada yang bisa bikin web bagus dalam negri pake luar mantap sangat tau negri,2025-11-04,
lanjut apabila kakak pihak orang pribadi potong kakak maksud unduh bpa bupot bpa unduh menu dokumen akun coretax orang pribadi terima hasil,neutral,0.9981045722961426,twitter,lanjut apabila kakak pihak orang pribadi potong kakak maksud unduh bpa bupot bpa unduh menu dokumen akun coretax orang pribadi terima hasil,,
taeekkk coretax make dana negara triliun gajelas gitu sama kayak pedulilindungin,negative,0.9993115663528442,twitter,taeekkk coretax make dana negara triliun gajelas gitu sama kayak pedulilindungin,,
akhir balik system lama email kode verefikasi nunggu sampe tidur lot dpj,negative,0.9980812072753906,tiktok,akhir balik system lama email kode verefikasi nunggu sampe tidur lot dpj,,
"daftar npwp online susah banget ya sampek abis pulsa 25k erorr"" bae",,,play_store,"Daftar NPWP online susah banget ya sampek abis pulsa 25k erorr"" Bae",2025-02-14 05:04:17,1.0
mau tanya yng buat lunas error angka dpp ppn cocok solusi gimna ganti,neutral,0.7861749529838562,tiktok,mau tanya yng buat lunas error angka dpp ppn cocok solusi gimna ganti,,
makin carut marut dana infaq amp apbd pakai masyarakat pusing turun lok tanjak coretax belibet nambah,negative,0.9987258315086364,twitter,makin carut marut dana infaq amp apbd pakai masyarakat pusing turun lok tanjak coretax belibet nambah,,
cek dulu databasenya kalau engga pake tiberodbpastilah coretax palsu,negative,0.9969289898872375,twitter,cek dulu databasenya kalau engga pake tiberodbpastilah coretax palsu,,
belum pantas di publish,,,play_store,Belum pantas di publish,2025-02-11 05:24:11,1.0
jadi kaya bang makan gugug gugug gitu,negative,0.925013303756714,tiktok,jadi kaya bang makan gugug gugug gitu,,
wakwkwk rdp standard berani buka ampun,negative,0.9990137815475464,tiktok,wakwkwk rdp standard berani buka ampun,,
chatgpt cuma triliun corteax lebih mahal chatgpt,negative,0.9979385733604432,tiktok,chatgpt cuma triliun corteax lebih mahal chatgpt,,
lapor kosong maksud tetap isi semua bagi hasil isi memang bawah ptkp tinggal login coretax atw djp online pilih tahun lalu isi formulir akhir,neutral,0.9884206056594848,twitter,lapor kosong maksud tetap isi semua bagi hasil isi memang bawah ptkp tinggal login coretax atw djp online pilih tahun lalu isi formulir akhir,,
alhamdulillah rill tipu tipu kakak nyaa fast respon jugaa kerja sampe menit awal takut lihat testimoni lihat kakak berani nyantumin foto alhamdulillah beneran amanah murceee jugaaa,positive,0.997787356376648,tiktok,alhamdulillah rill tipu tipu kakak nyaa fast respon jugaa kerja sampe menit awal takut lihat testimoni lihat kakak berani nyantumin foto alhamdulillah beneran amanah murceee jugaaa,,
expect raymond cursing,neutral,0.6853432655334473,tiktok,expect raymond cursing,,
website banyak bug gitu,negative,0.9991273283958436,tiktok,website banyak bug gitu,,
ga gunaaa gangguan trus . klo ga bisa online ga usah ada sistem online.,,,play_store,ga gunaaa gangguan trus . klo ga bisa online ga usah ada sistem online.,2025-02-25 05:04:02,2.0
bang sama biaya retensi,negative,0.9722371697425842,tiktok,bang sama biaya retensi,,
kan memang bikin rakyat indonesia lebih sabar bang,positive,0.8489964008331299,tiktok,kan memang bikin rakyat indonesia lebih sabar bang,,
"4:15 sebagai yang pernah make upstream telkom juga, mereka emang jelek soal advertising, makanya sering banget unreachable emang bagusnya sebenarnya djp connect ke local exchange karna djp sendiri udah punya asn sendiri",,,youtube,"4:15  sebagai yang pernah make upstream telkom juga, mereka emang jelek soal advertising, makanya sering banget unreachable
emang bagusnya sebenarnya DJP connect ke local exchange karna DJP sendiri udah punya ASN sendiri",2025-11-04,
buku manual daftar npwp wajib pajak orang pribadi lihat tks dana,neutral,0.9988922476768494,twitter,buku manual daftar npwp wajib pajak orang pribadi lihat tks dana,,
capeeeek,negative,0.9849327206611632,tiktok,capeeeek,,
kalau usut kpk waras gua rasa apk coretax sarat korupsi yakin lah nnti bakal ungkap,negative,0.7545178532600403,tiktok,kalau usut kpk waras gua rasa apk coretax sarat korupsi yakin lah nnti bakal ungkap,,
payah,,,play_store,Payah,2025-01-03 16:15:14,1.0
intinya itu banyak korup di awal pembuatan,,,youtube,Intinya itu banyak korup di awal pembuatan,2025-11-04,
loginnya susah padahal udah bener password sama nik nya tapi ga bisa login malah error,,,play_store,loginnya susah padahal udah bener password sama nik nya tapi ga bisa login malah error,2025-09-20 08:06:36,1.0
kata purbaya capek kliatan muka,negative,0.998116135597229,tiktok,kata purbaya capek kliatan muka,,
"jadi inget cerita dosen saya kalo gk salah ceritanya gini : ada sebuah gedung yang punya banyak jendela kacanya. kemudian ada 1 jendela pecah, orang2 yg didalam gedung itu gk peduliin dan gk mau benerin. 2 jendela pecah masih gk peduli juga. hingga setengah jendela dari gedung itu pecah, orang2 didalem gedung itu mulai sadar dan segera benerin jendel2 yg pecah. sampek semua jendela itu pecah, orang2 gk mau benerin karena biaya perbaikannya gede dan akhirnya malah ditinggalin itu gedung",,,youtube,"Jadi inget cerita dosen saya kalo gk salah ceritanya gini :
Ada sebuah gedung yang punya banyak jendela kacanya. Kemudian ada 1 jendela pecah, orang2 yg didalam gedung itu gk peduliin dan gk mau benerin. 2 jendela pecah masih gk peduli juga. Hingga setengah jendela dari gedung itu pecah, orang2 didalem gedung itu mulai sadar dan segera benerin jendel2 yg pecah. Sampek semua jendela itu pecah, orang2 gk mau benerin karena biaya perbaikannya gede dan akhirnya malah ditinggalin itu gedung",2025-11-04,
aplikasi yg sangat beebelit-belit mau daftar npwp aja ruwetnya kebangetan,,,play_store,Aplikasi yg sangat beebelit-belit mau daftar npwp aja ruwetnya kebangetan,2025-06-24 18:39:01,1.0
pindahajadulu,positive,0.580375075340271,tiktok,pindahajadulu,,
kek anak magang suruh bikin web,negative,0.966887891292572,tiktok,kek anak magang suruh bikin web,,
"aplikasi gak guna.. error terus,,, pake duit rakyat doang bisa nya.. 👎",,,play_store,"aplikasi gak guna.. Error terus,,, pake duit rakyat doang bisa nya.. 👎",2025-01-06 16:03:58,1.0
coretax website baik palinggg keren palingggg luar biasa paling palingggg tahun,positive,0.9945603013038636,twitter,coretax website baik palinggg keren palingggg luar biasa paling palingggg tahun,,
ehh kan memang dana buat tuh cuman dri nilai seluruh sisa,negative,0.99870502948761,tiktok,ehh kan memang dana buat tuh cuman dri nilai seluruh sisa,,
triliun,neutral,0.9602713584899902,tiktok,triliun,,
oi sialan bikin npwp dipersulit kode verifikasi ga muncul giliran muncul ga bisa verifikasi puki,,,play_store,oi sialan bikin NPWP dipersulit kode Verifikasi ga muncul giliran muncul ga bisa verifikasi puki,2025-09-09 10:53:06,1.0
migren tiada akhir gara coretax pagi ktm pagi ttp,negative,0.9297585487365724,tiktok,migren tiada akhir gara coretax pagi ktm pagi ttp,,
sangat sayang sekali dirutku awal bilang kok dana cair abis dijelasin coretax tanya hari coretax error kapan kira bisa mana tauuuu asa tagih hutang btw cewe kak,negative,0.9983339905738832,twitter,sangat sayang sekali dirutku awal bilang kok dana cair abis dijelasin coretax tanya hari coretax error kapan kira bisa mana tauuuu asa tagih hutang btw cewe kak,,
busuk,,,youtube,busuk,2025-11-04,
bingung cara buat npwp website ereg pajak tutup cara bikin akun coretax amp mohon otorisasi djp bantu proses sesuai atur laku data pribadi jamin aman minat info mamayannouncement,neutral,0.994873583316803,twitter,bingung cara buat npwp website ereg pajak tutup cara bikin akun coretax amp mohon otorisasi djp bantu proses sesuai atur laku data pribadi jamin aman minat info mamayannouncement,,
ente lantai berapa bang di gd cyber wkwkwkwkwk,,,youtube,ente lantai berapa bang di gd cyber wkwkwkwkwk,2025-11-04,
jangan heran indonesia,negative,0.9880741238594056,tiktok,jangan heran indonesia,,
burukkkkkk............mau login padahal password yg lama aja masih bisa pakai...lah ini udah di suruh update lagi malah gak bisa masuk2.....ribetttt,,,play_store,Burukkkkkk............mau login padahal password yg lama aja masih bisa pakai...lah ini udah di suruh update lagi malah gak bisa masuk2.....ribetttt,2025-02-10 15:53:38,1.0
