cleaned_text,sentiment,sentiment_score,source
ngerjain anak magang bang wajar,positive,0.99626225233078,tiktok
npwp kakak daftar wajib pajak kakak perlu daftar sila kakak laman beranda coretax kemudian klik aktivasi akun wajib pajak sila centang wajib pajak daftar lalu,neutral,0.9979314804077148,twitter
sok asik banget ajak,positive,0.9948033690452576,tiktok
tak suruh chat gpt buat apk coretax,neutral,0.9946974515914917,tiktok
malah bilang kaga paham,negative,0.9991193413734436,tiktok
maksud uchiha sengaja dapat lucu techbro bukan techbo gerak motivasi bangun coretax info kawal coretax jilid ndan,negative,0.5329225063323975,twitter
kakak coba unduh ulang format xml retur faktur masuk taut ikut mohon pasti isi file cara impor sesuai tunjuk link template excel sebut,neutral,0.9977438449859619,twitter
hai kak maksud buat npwp orang pasu nomor ahu dapat terang npwp daftar coretax iya kait daftar npwp badan pasti seluruh data sesuai daftar ahu,neutral,0.9801591634750366,twitter
kendala email,neutral,0.9735614061355591,tiktok
usut tri uang coretax plis kpk,neutral,0.9984360337257385,tiktok
masa biaya kaya gitu kalah sama server tiktok indonesia live video jam,negative,0.9745998382568359,tiktok
list error coretax per januari website blank muter foto sertel gagal pake foto ktp malah hasil bps kode otorisasi terbit atas nama orang status faktur pajak konsisten upload faktur pajak cont,negative,0.998511016368866,twitter
saking buru buru mau ngisi takut kena jebak batman oknum,negative,0.999091386795044,tiktok
raymond coba pagi kisar jam pagi ceo kalau approved sekitar jam segitu lancar info,negative,0.8947541117668152,tiktok
memang gila tri uang,negative,0.9991962313652039,tiktok
web inimah,negative,0.38012680411338806,tiktok
mending bang menang tender kudu beressss,negative,0.9961591958999634,tiktok
gas,positive,0.7426658272743225,tiktok
langkah kpk transparan proyek coretax jadi dasar komitmenkpk kuat lawan oknum birokrasi nakal,neutral,0.797092616558075,twitter
postingan kata beberapa bikin anak magang,neutral,0.932953417301178,tiktok
viralin sampe minimal fyp anak pur,neutral,0.9981626868247986,tiktok
hai kak kait dokumen pib faktur pajak biasa kak proses uploadnya laku website coretax faktur desktop kak laku coretax sila coba akses website lalu,neutral,0.9811551570892334,twitter
nik npwp pns pajak resign bakal kunci coretax alas,neutral,0.6245593428611755,twitter
hai kak hasil lapor lalu coretax umum terbit bpe arsip induk unduh menu surat pemberitahuan lapor,neutral,0.9981451034545898,twitter
perut,negative,0.9739887714385986,tiktok
konoha tuch memang ajaib dunia,positive,0.9965177774429321,tiktok
malu sama deepseek,negative,0.999174177646637,tiktok
salahin vendor sedia bikin app sedia dengar swasta,negative,0.9978663325309753,tiktok
tepuk beban rakyat,positive,0.9986104965209961,tiktok
ihhh sumpah jengkel banget berkas kerja jadi rapel semua gara gara coretax sumpah jengkel bangeettt,negative,0.999487042427063,tiktok
capeeeek,negative,0.9849327206611633,tiktok
tahun akhir mungkin lanjut tahun depan masa tertayikkkkk,positive,0.7136707305908203,tiktok
iyaa mau lapor sama bayar pajak ribet,neutral,0.8655908703804016,tiktok
posisi,negative,0.9987393021583557,tiktok
empat,neutral,0.9337713718414307,tiktok
hai kak skt oleh lalu laman coretax menu portal dokumen kemudian klik hasil dokumen bagi atas kanan icon gerigi sila cek dokumen klik unduh bagi kartu npwp tks dana,neutral,0.998005211353302,twitter
aplikasi perintah bagus sama sekali kalah ama startup modal bawah milyar,negative,0.9993005990982056,tiktok
tag temen,negative,0.9889482259750366,tiktok
coba masuk mas kalau smpe halaman login doang,neutral,0.7577449679374695,tiktok
yokkk uppp,neutral,0.9974865913391113,tiktok
apk ibu sri,negative,0.7669458389282227,tiktok
tingkat sadar masyarakat pajak dukung teknologi makin canggih,positive,0.9212542772293091,tiktok
temen temen rilll yah kakanya ramah beneran cmn nunggu jam gokss makasih,negative,0.737360417842865,tiktok
kagak kaget kalau indonesia kaburajadulu,negative,0.9928901195526123,tiktok
note langkah gambar saran luar kontrak coretax teknis qualysoft vendor korasel coretax purbaya menkeu fyp viral,neutral,0.9821344614028931,twitter
kayak kpk wajib usut kelas jadi kek aplikasi apa bau bau ditilep,negative,0.9989699125289917,tiktok
jefri nichol memposting ulang,neutral,0.9984772801399231,tiktok
coretax hambat segala bisikin menang tender dana triliun dipake buat sistem error terus balik sistem belum,negative,0.9977461695671082,twitter
buat ngebelain aplikasi coretax liat banget buzzernya programmer ketawa sama tuh aplikasi,positive,0.9412428140640259,tiktok
coretax sering eror bikin susah anyig,negative,0.9990386962890625,tiktok
bukan server asli milik djp provider publik net sewa aws pakein nama server fbi scan sendiri shodan terus bikin narasi bobol fbi,negative,0.9726516604423523,tiktok
mending bikin blogspot,negative,0.9972338080406189,tiktok
email padahal bener tetep,negative,0.9977712631225586,tiktok
hari bikin loading mulu tiap klik buat faktur pas masuk error awal kirain sinyal salah nyata sama,negative,0.9946664571762085,tiktok
kalau sistem lancar bayar pajak ribet jadi ekonomi jalan terus hambat,positive,0.9835649132728577,tiktok
bner bngttt,positive,0.997490406036377,tiktok
kak capek keluar kayak gin terus,negative,0.9971110820770264,tiktok
halo selamat malam min sama coba website coretax opsi sedia nama objek pajak,neutral,0.5724267959594727,twitter
tadi barusan coba kak msk aktivasi pas isi email cocok terus,negative,0.7871683835983276,tiktok
yokkk uppp,neutral,0.9974865913391113,tiktok
wajar bang coretax kan rapat briefnya komisi per keluarga kerja wajar lah sampe segitu,negative,0.9956141710281372,tiktok
titik cuapeeekkk banget sama konoha ini,negative,0.9988501071929932,tiktok
project kalah sama website direct wkwk,negative,0.9737406373023987,tiktok
share share lah,positive,0.9909636974334717,tiktok
abis ubah data urus coretax edit sesuai ahu pas coba login tombol edit bagaimana apa abis ubah data jadi gada tombol edit apa tombol edit bakal muncul,negative,0.8034515380859375,twitter
kpk mesti usut,neutral,0.9871487021446228,tiktok
auditcoretax,negative,0.9462724924087524,tiktok
coretax bikin orang magang sumpah jelek banget dana gede buat sistem jelek,negative,0.9994193315505981,twitter
rahasia umum lah bang buat apa wkwkwkwk,negative,0.8342715501785278,tiktok
buat npwp sekarang pake website apa coretax coretax stop,negative,0.6456942558288574,twitter
hari senin kpp pratama pangkal kerinci ada giat bimbing teknis asistensi aktivasi akun coretax kode otorisasi tempat auditorium gedung bupati kabupaten pelalawan,neutral,0.998485267162323,twitter
gua minggu lebih nyoba daftar npwp sampe sekarang gabisa,negative,0.830521285533905,tiktok
angularnya gamasalah bang tapiii,negative,0.9990860223770142,tiktok
hahaha jaman mulyono,positive,0.9540782570838928,tiktok
bang coba bahas mangkas anggar seluruh bumi nyari bahas ketemu penasaran,negative,0.9478582143783569,tiktok
benerr anak magang suka kena semprott orang grgr coretax mana grgr puasa,negative,0.9875075221061707,tiktok
wajib sampai pemberitahuan guna norma lebih lho aju mudah lalu coretax djp lihat pandu yuk segera aju waktu lewat,neutral,0.9902929067611694,twitter
kunci aktivasi akun coretax kawanpajak segera aktif akun langkah penting mudah efisiensi seluruh administrasi paja dukung modernisasi sistem pajak indonesia,neutral,0.8710076808929443,twitter
sistem abs kira hilang,neutral,0.7895156145095825,tiktok
informasi sensitif lain lalu video call jangan pernah akses taut coretax resmi coretax akses lalu website bukan bentuk aplikasi,neutral,0.7527958750724792,twitter
sila kakak login coretax menu surat pemberitahuan surat pemberitahuan buat konsep pilih ppn pkp guna pedoman hitung kredit pajak masuk cukup pilih periode masa pkp create,neutral,0.9959736466407776,twitter
orang bobrok kasi uang hasil produk bobrok lah,negative,0.999448835849762,tiktok
kmaren ditawarin buat aplikasi lebih bagus team indonesia,negative,0.9957849383354187,tiktok
kendala kakak coba laku langkah langkah bawah laku clear cache cookies browser guna guna mode incognito chrome private window mozilla firefox login coretax,neutral,0.9938341379165649,twitter
purbaya bro mau loker,neutral,0.998374342918396,tiktok
