"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Agak hopeless dgn pemerintah sekarang","3926","47","2025-02-13T07:52:25.000Z","daniegusti","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6793699959247569921","7470808357965611783","https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/4217906f384304ea8e5ca26b6817ad5a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=66592401&x-expires=1764061200&x-signature=gKdcZRWwxDgnufj5vF3Ii94x8eU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Chatgpt 1T
DeepSeek 96+-m
CoreTax 1,3T😂😂","1699","7","2025-02-13T11:05:11.000Z","gonnabea__","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7238939078178636801","7470858095116157703","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9965ee49fcddc88b48deb0348c7cb133~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=16d9f3f5&x-expires=1764061200&x-signature=GKiG2CJqLmPu5%2BphTUvQb6kMLwY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"1.3T rasa website 500rb.
wkwkwkw","1998","11","2025-02-13T13:00:13.000Z","radenrkenedi","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7454211677783294982","7470887720798929671","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2ed2e2af08091258e00f607ae9d383c9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cf740a7a&x-expires=1764061200&x-signature=xjxzt9kCCRbaemojRHlHc98WC8Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"komen anomali ""yaudah lu buat aja sendiri""","168","4","2025-02-13T10:46:01.000Z","dwayne211wi","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7004217385437086721","7470853153278149384","https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/dda5acecebd1ab179a5267ea06cf0890~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bb6bba8d&x-expires=1764061200&x-signature=8FwaU%2FzAX0jI6uCfDHmYMqOJuAg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Malah jadi semakin yakin coretax itu cuma cara pegawai pajak buat muterin uang rakyat, bayangin API nya bisa di akses dengan mudah via Console 🤣","194","1","2025-02-13T08:02:32.000Z","1stlucks","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7181876302696367130","7470810916520805140","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/97412336237fc4d7906c9c952eb9023a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2ed8123a&x-expires=1764061200&x-signature=9j04gkb80cmfGGnfgcy8C%2FXkLx4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"1 T kalah sama aplikasi Judol😂","30","1","2025-02-15T15:13:22.000Z","thepaulw","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6782578376395080705","7471664192820708112","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5776f651942272d7110402843bc4d9b9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bd2cf681&x-expires=1764061200&x-signature=qoV8fPQwsLa%2FlZrnqAEdxw7k9ow%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"sumpah iya anjir, kemaren bikin NIB di coretax susahnya minta ampun😔","16","0","2025-02-13T08:56:18.000Z","altschmerz971","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7229324263835485185","7470824665243812613","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3cda9306b3b25d371c5519bb06ca8e65~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=47f91aef&x-expires=1764061200&x-signature=CwV0aJ1Xi8lYPRi8dT0hfYDTDYU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"hahaha jaman mulyono 🤣","403","9","2025-02-13T08:00:22.000Z","babyybosssssssss","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6825488353297024001","7470810475995890448","https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/4764f50e00907842cc665e89f11f8cb2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5c1b2e0c&x-expires=1764061200&x-signature=uMYONtRcOl7AzQpBBw%2BfV9iUFbg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"bayar pajak susah yaa, yg bikin kesel, target bayar ngga bergeser. kita usaha kan butuh waktu utk kerja yaa, bukan mantengin aplikasi ini","11","0","2025-02-13T09:24:52.000Z","wiryawanisjwara","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7056455321824871425","7470832248372085525","https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7129268253464985626~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b08f4e04&x-expires=1764061200&x-signature=WRxa%2BTtXPvhEZNfjI3UDrksWe5k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Herannya tuhh ada case yg orang pajak gak tw pdhl bagian penyuluhan lohh. sesama orang pajak aja distribusi informasi coretax msih blm menyeluruh ya aplg distribusi ke warga indonesia. kocak","5","0","2025-02-13T11:59:42.000Z","mamisa_odette","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6959662003674858498","7470872118679749394","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/f1d961190bdaff0ca7bf6f6725df712c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c9d3cf4c&x-expires=1764061200&x-signature=bbF0EwqKqy2UKdb46EClhNLPs60%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"ternyata gua emosi itu wajar kan, sama coretax? raymond chin aja sampe begini reaksinya🤣","16","0","2025-02-13T12:20:40.000Z","lala.yeyeye17","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6725057013792048129","7470877526954623762","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c489abf235c7055fef79f59df9a29c74~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=56bbf0f6&x-expires=1764061200&x-signature=UEAo8qisIcVtG0buxVe2jJ448ZM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"itu udah di desain dari 2018 kok masih aja ngga beres sampe sekarang","5","0","2025-02-13T08:26:03.000Z","udueusuei","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7046601332228129818","7470816938294592311","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/873b00718e92ca7963c9e029abc6f63e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bd9d42c7&x-expires=1764061200&x-signature=6TXxfcbZCAdMh05d1odCwbe9XdU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"pindah ke Singapura aja koh pulang ke rumah ayah.. biar bisnis lebih tertata.. kalo koko mau tetep di indo biar base bisnisnya di Singapura aja yg regulasi dari hulu ke hilir nya udah jelas🙏😁","243","11","2025-02-13T08:01:03.000Z","goblin0808","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7369492910745584645","7470810624897893127","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/a8294f3edf5eeb6155de123dfdc6c78d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=39829dee&x-expires=1764061200&x-signature=9qTfaR7DgqMrRGUz8SCZIi1noCc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"untung sekarang #kaburajadulu . coba kalo #stopbayarpajak 💀","7","1","2025-02-13T11:24:20.000Z","ellanymous12","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6923408694948594690","7470863038493508372","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/4cbc99cfc3ae47d511aa302a4b8ddf08~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=64b544c7&x-expires=1764061200&x-signature=Obv5WXOdR61IKYjY8lAz3ZWqhxI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"emang coretax agak bikin gereget suka errorr eee","67","4","2025-02-14T11:23:58.000Z","hai_joni","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6861268432323757057","7471233996791382792","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/33b05376984e155db98511faa1ee19e8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4ec744ac&x-expires=1764061200&x-signature=a5TrH6L%2FpQGTKuj99PYhBY83gOE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Ray naikin gaji editor, editingnya jd bikin poin per poin videonya makin ke-highlight, suka nontonnya","18","0","2025-02-13T09:43:09.000Z","povpici","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7419193742119109638","7470836889538626305","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/780f3eba83eeea0b519915c5de4e8f0b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=54581673&x-expires=1764061200&x-signature=4%2FdZdurfQwtYo9qFq7KOGnYN8l0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Masi ngarep ama sistem pemerintahan?😂","6","2","2025-02-13T11:51:34.000Z","anakpinggiran___","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6842752214101296130","7470870029845299986","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/01c37df51cd92b2e3911bc4e0c985269~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=00e75f14&x-expires=1764061200&x-signature=LtS2mIrSc%2FCWpmG%2B5GQcRYQf1FE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
