date,text,source
2025-11-04,"Teman-teman sorry segmen video sepertinya agak salah. Kemudian sorry juga jika saya ada sedikit miskonsepsi ketika membahas JWT. Memakai Session-based authentication juga tidak salah kok. Hanya saja sepertinya Coretax, authentikasi dan role managementnya berantakan. Seperti yang disebutkan di awal, saya juga manusia bisa salah, terimakasih yang sudah koreksi.",youtube
2025-11-20,Teman saya kemarin jadi korban penipuan melalui aplikasi coretax djp.. lapor kemana2 tidak ada solusi..alhasil uang 40 jt raib dalam sekejap,youtube
2025-11-15,Jelas udah ada backdoor nya itu coretax wkwk,youtube
2025-11-15,jangan bilang windows server + xampp 😂,youtube
2025-11-15,wah masa sekelas LG hasil nya kek gini jadi trust issue gw,youtube
2025-11-13,biar kutebak. LG cuma dipinjam bendera aja tuh 🤣 yang ngerjain orang indo setara SMA,youtube
2025-11-11,nyebut telkom.. dibalik layar lgsung itu telkom minta anggaran spesial😂😂😂.. bagi2 lagi dah...,youtube
2025-11-11,"wait, ini masih proses perbaikan. jadi ya masuk akal kalo ada kekurangan. jadi konten ini tu tau ahh",youtube
2025-11-11,Gw sekelas bank aja kalo ada error dikit ato timeout aja kinap parah wkwkwkwkwk.,youtube
2025-11-11,bg seandainya abg di hire untuk develop ulang dengan bayaran 1T mau nggak bg ??,youtube
2025-11-11,Aku developer tapi kerja di notaris pas bantu pendaftaran pimpinan di web bpn ada error php yg malah di tampilin di frontend😂,youtube
2025-11-11,bang sering upload la,youtube
2025-11-11,"Bang bahas aplikasi simpel, speed dan festronik dari kementrian lingkungan hidup",youtube
2025-11-11,"Jawabannya di anggaran yg ga mungkin 1,3T. Bukan salah LG tapii anggaran yg lebih kecil tapi di paksa hasil maksimal mungkin yg membuat LG jadi males selesain projek seadanyaa",youtube
2025-11-11,Udah kaya aplikasi hasil vibe coding aja yg modal klik next2 😅,youtube
2025-11-11,"Harusnya bang david n team ini yg develop coretex ini, gw yang awam aja heran susah bgt pake tuh website😂",youtube
2025-11-11,"Saya sebagai masyarat kasta tertinggi negara, memerintahkan kamu david ambil alih project cortex.",youtube
2025-11-11,Mungkin terima jadi,youtube
2025-11-11,Keren bang  pembahasannya👍🏻👍🏻👍🏻,youtube
2025-11-11,"Langsung wa pak purbaya bang, kan ada nomornya lapor purbaya",youtube
2025-11-04,"gpp dimaafkan, kan baru belajar",youtube
2025-11-04,ini kalo gw bilang bukan masalah core telkomnya semerawut bang. ini jelas kemenkeu/ DJP sebagai customernya telkom dibego begoin. serius dah harusnya emang jadi bego sekalian ga mau tau kelar kan bayar service bulanan belom lagi pake duid pajak kan. mestinya dari tiap vendor deliverablesnya harus jelas. gw yakin coretax fine fine aja di UATkan karena yang make cuma tim IT QCnya doang. boro boro  ngitung sampe ke bandiwdth actual dari telkom yang bisa diterima untuk serve layanan coretax dan infrastruktur penunjang gw yakin ga ikut di stress test. awkdkawdkakwd. untungnya service dari Lintasarta meskipun ga di stresstest masih sesuai asesmen dan dinyatakan baik ya. beh kalo gw udah gw miting sampe eskalasi ke direktur pelayanannya telkom begini mah.,youtube
2025-11-04,"iya bang, simpen JWT di cookie juga bisa, bedanya browser ga perlu lempar JWT di header",youtube
2025-11-04,"gak ada yang salah om david. 
gass terus.",youtube
2025-11-11,Katanya sipaling jago awowkwk,youtube
2025-11-11,"orang exportir dan pelaku usaha semua kayanya akan jengah dg program yg dirancang eror biar ekonomi seret dan semakin susah, semakin mahal semakin lama tanpa solusi. lihat saja punggawa2 saat ini cuma bisa berbusa saja.",youtube
2025-11-11,@davidalfasunarma bang bahas website OJK untuk aplikasi idebku dong. Kesel banget kalau mau cek SLIK OJK karena kecepatannya lemot banget dan udah gitu kalau masukin captcha nya suka error. Selain itu kalau upload foto identitas suka error dan harus upload berkali-kali,youtube
2025-11-11,"Sejak dr DJP dgnti ke coretax ...

Hidup saya merasa tidak baik2 saja, kesehatan menurun , makan kurang enak , tidur tidak banyak dan uban makin teriak",youtube
2025-11-11,ADA HARGA ADA KUALITAS KEKNYA BG. TAU KAN ARTINYA APAA BG?  😌😌😌😌,youtube
2025-11-11,Bapak Ditipu lagi,youtube
2025-11-11,"secara security gak masalah RDP dan VNC pake port standard karena mudah banget jg buat scan port, yg jadi masalah kenapa di open ke global? sy sendiri masih pakai VNC tapi harus lompat2 via ssh tunneling 2-3 lompatan",youtube
2025-11-11,"Ada yang lupa disebutkan bang.. Peran Konsultan Deloitte itu gimana? Dapat kontrak senilai 110 milyar loh sebagai Project Management & Quality Assurance.

Mending kasih bang David aja 😂",youtube
2025-11-11,Nice and Smart analysis... ❤,youtube
2025-11-11,"Wah, ternyata pak Purbaya jg dibohongi sama timnya.",youtube
2025-11-11,thanks bro lets assist mr.purbaya,youtube
2025-11-11,Kenapa kita ga bisa hukum sri mulyani?,youtube
2025-11-11,Sekelas perusahaan tempat gw kerja aja pake token sama API ko 😅,youtube
2025-11-11,"Salah satu dari ratusan bukti gagalnya pendidikan indonesia akibat jaman dulu dipisah IPA, IPS dan sebagainya. Rata2 ambil gampangnya ambil IPS sehingga yang penting bacot sosial gede dan minim dasar ilmu alam/fisika/kimia untuk mencari hipotesa yang benar. Ketemu masalah beginian sama saja kaum rata2 IPS bawanya angkat tangan aja. Beda dengan sistem negara maju jaman dulu semua dasar harus dikuasai bahkan sudah bisa prediksi AI akan terjadi bukan karena nonton pelm.",youtube
2025-11-11,"Ah sial, setelah liat ini mah, kesel banget, program kaya gitu mah udah levelnya ngawur. Usut dah",youtube
2025-11-11,Konyol emang..,youtube
2025-11-11,"Ijin bang, saya orang ISP

Soal jaringan telkom yang kenapa selalu bermasalah adalah karna core telkom di datacenter udah penuh 100G, kita para provider plat hitam sudah minta untuk telkom upgrade kapasitas core mereka tapi ga pernah di indahkan, karna mereka selalu pingin agar banyak provider plat hitam yang bekerja sama dengan telkom exchange yang harganya muahal. Silahkan jika ada yang salah",youtube
2025-11-11,"bongkar aja ga sih kontraknya, curiga.. wkkwkwkwk",youtube
2025-11-11,Singkat padat jelas boikot LG. Ancam aja dulu biar fast respon wkwk,youtube
2025-11-11,"Sangat lawak memang cortex 😂 kesel iya, ngakak iya, anak magang bisa lebih baik kerjanya asal di brief dan dimonitor dengan jelas",youtube
2025-11-11,"opo ngaruh, kenal juga ga, orang partai juga bukan, ga akan di lihat melirik saja seakan jijik, karena potensi cuat dari error sistem bisa hilang, kebayang ga jengkelnya jd orang peduli diantara orang2  oportunis...",youtube
2025-11-11,saya berhenti bayar pajak setelah ada program taik ini,youtube
2025-11-11,"Manajemen keuangan salah siapa ACC. Aplikasi 1,5 T . Pemborosan.",youtube
2025-11-11,"Nambahin, banyak hal di dunia internet yang ga pernah di up, karna kebanyakan soal software dan melupakan infra dan network 😅",youtube
2025-11-11,Ganti ke Samsung,youtube
2025-11-11,"mungkin bisa jadi ""LG"" cuma di pinjam bendera heheheheh....",youtube
2025-11-11,"liat commitan git nya aja, beneran anak sma jangan jangan yang ngerjain wokwokw",youtube
2025-11-11,"Saya melihat Pak Pur memang sama sekali engga faham IT... dia hanya membaca laporan bawahan.. bahaya itu..
Tidak ada gagasan dan tidak ada koreksi internal..",youtube
2025-11-11,Seingat saya end user pernah disuruh inspect element..,youtube
2025-11-04,Bang Ajak ajak kerja bang .  Saya biasa pasang cctv ..server .. dll. Heheheh,youtube
2025-11-04,"BANG Saya ojol ..Abang penjelasan terlalu teknis di bidang IT. bang .. abang tau kan .. kalau pelayanan Publik DI terapkan dengan basis pelayanan TEKNOLOGI canggih ..maka Tak akan ada yang SUAPA SANI .. SAYA BERANGGAPAN cortex Ituemang sengaja DI kondisikan oleh pihak tertentu 

Agar Orang yang mengurus dokumen2 langsung datang ..tar basa basi aahk kurang ini nih pak Bu
.oh ya udah bisa di bantu lah .. ok pak Bu .. wani Piro .. 😂😂😂😂",youtube
2025-11-04,Kerugian negara gk tuuu...... wp2 gk bisa akses... project 1.3t juga,youtube
2025-11-04,coba kpk cek tuh 1.3T kemana aja ngalir nya ...😂,youtube
2025-11-04,"itu BUMN plat merah kena kambing  hitam terus si TELKOM tapi coba deh rasakan sendiri ISP2 kelas retail/rumahan sekarang yang bagus hingga ke plosok apa? yang cepat handle ggn apa? udah coba indihome (telkom), myreb, fiberhome, cbn ancur parah klo redaman fo tinggi atau fo cut itu myreb, fiberhome, cbn gila 3 hari lebih teknisi baru datang sedangkan gua tinggal di Palembang KOTA boy., eh yg selalu dihina telkom (indihome) lapor pagi jam 8 eh jam 10 dah fix aja perbaikanya teknisi lgsg ke lokasi kwkwk",youtube
2025-11-04,"Rupanya orang"" pinter di negeri ini, bnyk yg Nakal yaa",youtube
2025-11-04,tim IT Coretax: emng RDP pake port ya?,youtube
2025-11-04,ada yang bisa bikin web bagus dalam negri pake luar mantap sangat tau negri,youtube
2025-11-04,srimul kok gak rompi oren ya?,youtube
2025-11-04,PALINGAN PC SERVERNYA MASIH LEBIH BAGUS SPEK PC  GAMING WARNET LOL.,youtube
2025-11-04,"Masukan aja nie bang sekelas negara masih pakai RDP? Butuh nya apa coba , jangan2 servernya pakai PC Rakitan / PC Server Seken kwkwkwk , RDP itu sampah bagi saya",youtube
2025-11-04,KONTEN IT TERFAEDAHHHHHHH!!!!! PERBANYAKKKKKKK PLEASE!,youtube
2025-11-04,"mohon infonya, hari ini saya aktivasi akun coretax tidak bisa. Langkah sudah dilakukan tapi pas klik ""simpan"" ada penjelasan ""kesalahan saat mengirimkan permintaan akses digital"". Apakah memang saat ini untuk aktivasi akun coretax tidak bisa?",youtube
2025-11-04,"Kasian pak mentri , kok jadi banyak yang beliau urusin",youtube
2025-11-04,"Komentar pak Purbaya terakhir,semua sistem web cortex belum bisa di ambil alih semua masih ada di pihak LG.kemungkinan nanti kalau sudah di lepas vendor(LG) mungkin bisa dikendalikan",youtube
2025-11-04,Bikin Sistem Informasi bukan hal yang mudah. Sebaiknya enggak terlalu glamour mengumumkan ke media ketika bangun sistem informasi karena bisa ngundang hacker untuk menjajal sehebat apa sistem yang dibangun.,youtube
2025-11-04,curiga ni sistem sengaja dibikin bermasalah biar yang 1% bisa bermain dengan pajaknya,youtube
2025-11-04,Tangkap srimuliyani,youtube
2025-11-04,@pak mentri check this out😊,youtube
2025-11-04,"Mau Jwt, Basic Auth atau Cookies juga gak ada hubungan nya dengan ngekacauin program nya karena ke lempar-lempar redirect, itu udah goblok aja developernya, ibarat dia main try except / try catch, tapi exceptionnya di pass",youtube
2025-11-04,Kebanyakan tidur para pejabatnya,youtube
2025-11-04,Bang David lapor aja ke WA nya pak Purboyo pasti dibalas. Saya aja  yg rakyat jelata langsung dibalas apalagi bang David yg ngasih masukan pasti langsung direspon.,youtube
2025-11-04,"thankyou bang david, coba dong bang bahas problem yang belum ter spot light tapi ga kalah penting, yaitu kemampuan kedua belah pihak untuk create brief dan meramu jadi fundamental dokumentasi.
masalah coretax ini sih udah terlalu absurd, seperti ada yang ga beres sejak titik 0 nya. diperusahaan kami soalnya sering banget terjadi, apalagi kalo berurusan sama plat merah.",youtube
2025-11-04,masi terikat kontrak sama korea jadi belum bisa take over. kabarnya habis taun ini kita tunggu aja.,youtube
2025-11-04,"sistem konoha yang buat mesti programmer konoha, krn akan banyak permintaan aneh dari user, yang programmer ""luar"" gak berani. Seperti bikin ""backdoor"", supayx data yang harusnya sudah fix masih bsa di kulik kulik angkanya. Yang begini bukan masalah skill coding, tapi ""integritas"" programmer utk membuat siatem ""benar""",youtube
2025-11-04,bau2 korupsi ini mah....,youtube
2025-11-04,jika tanpa kirim surat ke pak purbaya~~mungkin awam anggap tidak serius bermanfaat buat bangsa,youtube
2025-11-04,"mungkin yg di maksud LG disini itu - Lembaga asal Garap bukan LG yg kita kenal, ga yakin LG kelasnya kek gini, mencoreng nama mereka bgt",youtube
2025-11-04,"Orang korupsi di Menkeu aja sebelumnya dilindungin sama agen CIA, masalah coretax apalagi.",youtube
2025-11-04,Penasaran bunyi kontraknya gimana kok desember baru dikasih.,youtube
2025-11-04,KAmu siapa dan kamu ahli apa....coba tunjukkan skill programmingmu kalo memang kamu jago...,youtube
2025-11-04,"Beliau di bohongi atau sengaja
😂😂😂
Kan anggaran baru bro..
😂😂",youtube
2025-11-04,Pemerintah sblm pak purbaya terlalu gelap jadi nga nampak klo di sorot. Paham kn,youtube
2025-11-04,"Napa lebih aman server Ubuntu ecek"" di platform VPS 200rban",youtube
2025-11-04,Ya begitulah yang penting butuh jadi aja gpenting klo nanti belum selesai yang penting ada aksi untuk dikerjakan LG dan mereka tidak mau tanggungjawab yang penting easy money,youtube
2025-11-04,"Ya namanya jg proyekan pemerintah bang, kl sekali langsung jadi cipratannya dikit buat ""oknum-oknum"" tersayang. Masih-masing Kementerian, Badan dan Lembaga harus ada proyek-proyek untuk upeti buat ""sang petinggi"". Yoo Nda Tau Ko Tanya Saya 🎉🎉",youtube
2025-11-04,"TRUE bro david

Dari sisi tim developer
1. Ketidakmampuan menggali informasi dengan komprehensif
2. Gagal translate brief jadi bahan dokumentasi PRD ERD CDD BRD dan sebagainya
3. Management gagal komunikasi ke tim
4. Management gagal mengatur waktu dan strategi dev (molor memperkeruh)
5. Personal tim design thinking dan basic2 lainnya

Dari sisi tim 
1. Abai dan blur dari sisi ekspektasi (oke awam, tapi setidaknya tahu yang diinginkan apa)
2. Tidak ada tim inhouse mumpuni yang bisa translate bahasa teknis ke bahasan awam (client) 
3. Struktur tim dan stakeholder berantakan (kepala nya banyak bikin project manager bingung)
4. Data awal salah salah terus
5. Time schedule berantakan

kalo dilihat dari problemnya yang dibedah sama bro david sih bukan sekedar masalah teknikal, bahkan yang non teknikal di awal kayaknya skip
kayaknyaaaa yaaaaaaaam, bahas dong bro best practicenya gimana sih",youtube
2025-11-04,"Keknya si Coretax ini pertama kali brojol gak pake SIT, UAT, Stress Test, langsung go live prod after dev 😂🤣",youtube
2025-11-04,"Kata pak pur masih ada yang di vendor entah apanya gitu saya gak paham jadi blm bisa leluasa ....... 

1 T buat CORETAX entah apa yang didapat hingga kisruh


Semangat pak pur memperbaiki🎉",youtube
2025-11-04,Bang david gregetan wkwk,youtube
2025-11-04,Curiga duit 1.3 jgn2 yg dipake cuma 300M doang,youtube
2025-11-04,"Kalau gak serius dan gak jujur serta gak cepat kelar pengerjaan oleh vendornya, maka bakal jeblok nama ,image,saham,dan kredibilitas LG di mata dunia",youtube
2025-11-04,"Teman-teman sorry segmen video sepertinya agak salah. Kemudian sorry juga jika saya ada sedikit miskonsepsi ketika membahas JWT. Memakai Session-based authentication juga tidak salah kok. Hanya saja sepertinya Coretax, authentikasi dan role managementnya berantakan. Seperti yang disebutkan di awal, saya juga manusia bisa salah, terimakasih yang sudah koreksi.",youtube
2025-11-04,Coretax mahal2 kalah sama traveloka. Terus keahlian llu ape Pur?? 😅😅,youtube
2025-11-04,kalo tidak bisa mengendalikan kepala. maka kendalikan bawahan yg di percaya. benar kata kang dedi. jangan percaya siapapun. karena keluarga saja bisa berhianat. apalagi hanya pekerja,youtube
2025-11-04,"Masalah pake cookies authentication itu sama sekali gak masalah selama sessionnya dihandle sama DB.

JWT itu ada kompleksitasnya sendiri, apalagi klo smpe kecolongan",youtube
2025-11-04,"Pernah denger statement siapa ya lupa, pak jonan klo ga salah.. digitalisasi itu yang sulit siapin kultur SDM nya, bukan cuma programnya. Program coretax secanggih apapun, tapi klo habit operatornya masih lemah, bisa ditembus hacker juga. tapi sebenernya coretax ini makhluk apa, apa yang dia gantiin dari sistem DJP lama? Harusnya coretax ini jadi backbone buat digitalisasi lintas lembaga dan semua perpajakan bangsa. Jadi penasaran siapa team leadernya yg bikin coretax😅",youtube
2025-11-04,"Kayanya ini dompleng nama LG doank tendernya, sebenarnya di subkon lagi ke orang lain.",youtube
2025-11-04,semangat trus p.david 🎉,youtube
2025-11-04,"Status negara kita bisa dikata ""negara terdominasi"" jadi semua serba sulit  . Membenahi juga banyak tersandung perjanjian2 yg aneh2. Dn itu sejak jaman reformasi  artinya saat itu kita membuka akses negara lain untuk mendominasi kita  dg atas nama demokrasi. (Terlalu bebas).",youtube
2025-11-04,Seinget gw padahal IT DJP itu punya standarisasi yang lumayan ketat. Dulu gw bikin sistem di situ harus ngikutin environment dia dari SSO dan standard security.,youtube
2025-11-04,semoga Abang bisa berkontribusi untuk negara bang,youtube
2025-11-04,"Bener mas suarakna hal2 sing ngwe apik kanggo pemerintah mengarep 
Sampean nyong kudu kritis demi indonesia maju,, 
#tegallakalakA",youtube
2025-11-04,"Jelasnya gua pernah dirampok gara gara  cortex,..
Isu tentang corteex dimanfaatkan oleh hack social eng ineering.. pokoknya OJK, bank, keuangan negara lepas tanggung jawab.",youtube
2025-11-04,"Gw curiga purbaya ini pake logical fallacy apa ya, duh gw lupa istilahnya... intinya dia kambing hitamkan ""asing"" (LG), which is aneh karena gw gak relate LG ke information system, tapi ke hardware. Bukannya salah dia ngebongkar jeleknya coretax, tapi pake cara2 populis persis bosnya (antek asing). Sementara borok2 internal kemenkeu sebagai user atau co-developer (terlepas itu kerjaan pendahulunya) gak diakui.",youtube
2025-11-04,coba test penetration om..,youtube
2025-11-04,Nggak nyampe otakku bos pusingggg...komplexxxxx,youtube
2025-11-04,"gpp dimaafkan, kan baru belajar",youtube
2025-11-04,ini kalo gw bilang bukan masalah core telkomnya semerawut bang. ini jelas kemenkeu/ DJP sebagai customernya telkom dibego begoin. serius dah harusnya emang jadi bego sekalian ga mau tau kelar kan bayar service bulanan belom lagi pake duid pajak kan. mestinya dari tiap vendor deliverablesnya harus jelas. gw yakin coretax fine fine aja di UATkan karena yang make cuma tim IT QCnya doang. boro boro  ngitung sampe ke bandiwdth actual dari telkom yang bisa diterima untuk serve layanan coretax dan infrastruktur penunjang gw yakin ga ikut di stress test. awkdkawdkakwd. untungnya service dari Lintasarta meskipun ga di stresstest masih sesuai asesmen dan dinyatakan baik ya. beh kalo gw udah gw miting sampe eskalasi ke direktur pelayanannya telkom begini mah.,youtube
2025-11-04,"iya bang, simpen JWT di cookie juga bisa, bedanya browser ga perlu lempar JWT di header",youtube
2025-11-04,"gak ada yang salah om david. 
gass terus.",youtube
2025-11-11,Katanya sipaling jago awowkwk,youtube
2025-11-11,"orang exportir dan pelaku usaha semua kayanya akan jengah dg program yg dirancang eror biar ekonomi seret dan semakin susah, semakin mahal semakin lama tanpa solusi. lihat saja punggawa2 saat ini cuma bisa berbusa saja.",youtube
